@relation dataset.txt

@attribute user_id {U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20}
@attribute system_id numeric
@attribute year numeric
@attribute month numeric
@attribute day numeric
@attribute hour numeric
@attribute minute numeric
@attribute second numeric
@attribute session_duration numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute label numeric

@data
U1,1,2017,10,2,20,59,14,547,17.437462,78.448288,1
U1,1,2017,10,7,15,12,15,367,17.437462,78.448288,1
U1,1,2017,10,7,19,42,25,352,17.437462,78.448288,1
U1,1,2017,10,4,14,9,54,348,17.437462,78.448288,1
U1,1,2017,10,1,13,9,18,432,17.437462,78.448288,1
U1,1,2017,10,1,23,37,56,570,17.437462,78.448288,1
U1,1,2017,10,4,18,1,34,480,17.437462,78.448288,1
U1,1,2017,10,5,12,36,32,479,17.437462,78.448288,1
U1,14,2017,10,6,19,52,22,294,17.437446,78.448295,1
U1,5,2017,10,4,24,28,32,372,17.437446,78.448295,1
U2,2,2017,10,4,8,36,28,410,17.437463,78.448289,1
U2,2,2017,10,7,8,22,31,583,17.437463,78.448289,1
U2,2,2017,10,4,8,36,32,429,17.437463,78.448289,1
U2,2,2017,10,7,10,13,8,574,17.437463,78.448289,1
U2,2,2017,10,1,17,56,48,347,17.437463,78.448289,1
U2,2,2017,10,5,16,59,44,543,17.437463,78.448289,1
U2,2,2017,10,6,11,49,6,344,17.437463,78.448289,1
U2,2,2017,10,5,18,54,13,573,17.437463,78.448289,1
U2,17,2017,10,1,20,43,10,274,17.437463,78.448289,1
U2,5,2017,10,5,20,57,11,487,17.437463,78.448289,1
U3,3,2017,10,3,15,20,41,547,17.437464,78.448389,1
U3,3,2017,10,7,13,29,17,493,17.437464,78.448389,1
U3,3,2017,10,3,13,46,32,597,17.437464,78.448389,1
U3,3,2017,10,3,8,47,34,442,17.437464,78.448389,1
U3,3,2017,10,5,22,14,41,479,17.437464,78.448389,1
U3,3,2017,10,7,8,12,34,326,17.437464,78.448389,1
U3,3,2017,10,5,8,4,50,472,17.437464,78.448389,1
U3,3,2017,10,5,23,37,23,564,17.437464,78.448389,1
U3,3,2017,10,4,23,36,0,453,17.437464,78.448389,1
U3,3,2017,10,4,21,5,53,84,17.437463,78.448289,1
U4,4,2017,10,6,10,3,57,505,17.437362,78.448231,0
U4,4,2017,10,6,23,54,37,498,17.437362,78.448231,0
U4,4,2017,10,6,16,24,49,463,17.437362,78.448231,0
U4,4,2017,10,2,15,53,10,497,17.437362,78.448231,0
U4,4,2017,10,7,20,1,52,512,17.437362,78.448231,0
U4,11,2017,10,4,19,12,48,304,17.437463,78.448289,0
U4,7,2017,10,3,14,35,12,232,17.437463,78.448289,0
U4,10,2017,10,1,21,25,34,20,17.437463,78.448289,0
U4,4,2017,10,3,18,15,26,453,17.437463,78.448289,0
U4,9,2017,10,5,24,24,23,532,17.437463,78.448289,0
U5,5,2017,10,1,8,48,5,497,17.437465,78.448287,1
U5,5,2017,10,2,20,48,2,584,17.437465,78.448287,1
U5,5,2017,10,1,9,14,24,599,17.437465,78.448287,1
U5,5,2017,10,1,16,59,3,310,17.437465,78.448287,1
